"CNPJ","DSC_PRODUTO","DIA","MES","ANO","VAL_MEDIO_VENDIDO"
12451076000112,"GASOLINA  ADITIVADA",14,7,2019,"4.713271283"
12451076000112,"GASOLINA  ADITIVADA",15,7,2019,"4.716816657"
12451076000112,"GASOLINA  ADITIVADA",16,7,2019,"4.730346575"
12451076000112,"GASOLINA  ADITIVADA",17,7,2019,"4.757141488"
12451076000112,"GASOLINA  ADITIVADA",18,7,2019,"4.745007404"
12451076000112,"GASOLINA  ADITIVADA",19,7,2019,"4.71903115"
12451076000112,"GASOLINA  ADITIVADA",20,7,2019,"4.707472698"
12451076000112,"GASOLINA  ADITIVADA",21,7,2019,"4.694039971"
12451076000112,"GASOLINA  ADITIVADA",22,7,2019,"4.724785046"
12451076000112,"GASOLINA  ADITIVADA",23,7,2019,"4.683090674"
12451076000112,"GASOLINA  ADITIVADA",24,7,2019,"4.620292418"
12451076000112,"GASOLINA  ADITIVADA",25,7,2019,"4.647847896"
12451076000112,"GASOLINA  ADITIVADA",26,7,2019,"4.651784595"
12451076000112,"GASOLINA  ADITIVADA",27,7,2019,"4.654731512"
12451076000112,"GASOLINA  ADITIVADA",28,7,2019,"4.650610033"
12451076000112,"GASOLINA  ADITIVADA",29,7,2019,"4.631815797"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",10,7,2019,"4.699071757"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",11,7,2019,"4.700435062"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",12,7,2019,"4.702306936"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",13,7,2019,"4.69724295"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",14,7,2019,"4.697628346"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",15,7,2019,"4.70163294"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",16,7,2019,"4.697059445"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",17,7,2019,"4.69023282"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",18,7,2019,"4.699738729"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",19,7,2019,"4.697140642"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",20,7,2019,"4.699393812"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",21,7,2019,"4.702198953"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",22,7,2019,"4.705095891"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",23,7,2019,"4.697713951"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",24,7,2019,"4.700271784"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",25,7,2019,"4.700370341"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",26,7,2019,"4.699717571"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",27,7,2019,"4.701780442"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",28,7,2019,"4.698922854"
12844510000124,"GASOLINA  ADITIVADA DT CLEAN",29,7,2019,"4.697388207"
69999456000103,"GASOLINA  C  COMUM",10,7,2019,"4.78946781"
69999456000103,"GASOLINA  C  COMUM",11,7,2019,"4.789571688"
69999456000103,"GASOLINA  C  COMUM",12,7,2019,"4.789608375"
69999456000103,"GASOLINA  C  COMUM",13,7,2019,"4.789656001"
69999456000103,"GASOLINA  C  COMUM",14,7,2019,"4.789607452"
69999456000103,"GASOLINA  C  COMUM",15,7,2019,"4.7639545"
69999456000103,"GASOLINA  C  COMUM",16,7,2019,"4.718909151"
69999456000103,"GASOLINA  C  COMUM",17,7,2019,"4.718830617"
69999456000103,"GASOLINA  C  COMUM",18,7,2019,"4.718870879"
69999456000103,"GASOLINA  C  COMUM",19,7,2019,"4.718814031"
69999456000103,"GASOLINA  C  COMUM",20,7,2019,"4.725933171"
69999456000103,"GASOLINA  C  COMUM",21,7,2019,"4.718935555"
69999456000103,"GASOLINA  C  COMUM",22,7,2019,"4.71884621"
69999456000103,"GASOLINA  C  COMUM",23,7,2019,"4.718847937"
69999456000103,"GASOLINA  C  COMUM",24,7,2019,"4.718768811"
69999456000103,"GASOLINA  C  COMUM",25,7,2019,"4.630669013"
